Species,Tag.Number,Colony.ID,Site,Treatment,Date.Spawned,Eggs.per.bundle,Egg.Size,Fec.Eggs,Fec.Frag,Molec.Sperm,Molec.Eggs,Who Sampled,Fert.Rate,Larval Resp,Larval Size,Notes
A.pulchra,75,Apul_75,Mahana,Wild,20201007,Y,Y,Y,Y,Y,Y,Both,Y (Pooled),Y,Y,Dennis took 1mL of sperm and 250uL of eggs in replicates of five per colony (except when not enough ; like 87)
A.pulchra,77,Apul_77,Mahana,Wild,20201007,Y,Y,N,N,Y,Y,Both,Y (Pooled),Y,Y,
A.pulchra,80,Apul_80,Mahana,Wild,20201007,Y,Y,Y,Y,Y,Y,Both,Y (Pooled),Y,Y,
A.pulchra,87,Apul_87,Mahana,Wild,20201007,Y,Y,Y,Y,Y,Y,Both,Y (Pooled),Y,Y,
A.pulchra,201,Apul_201,Mahana,Wild,20201007,Y,Y,Y,Y,Y,Y,Both,Y (Pooled),Y,Y,
A.pulchra,202,Apul_202,Mahana,Wild,20201007,Y,Y,Y,Y,N,N,Both,Y (Pooled),Y,Y,No gametes left over 20201007 for molec.
A.pulchra,203,Apul_203,Mahana,Wild,20201007,Y,Y,Y,Y,N,N,Both,Y (Pooled),Y,Y,No gametes left over 20201007 for molec.
A.pulchra,241,Apul_241,Mahana,Outplant,20201007,Y,Y,Y,Y,N,N,Both,N,N,N,No gametes left over 20201007 for molec.
A.cyatherea,19,Acya_19,Linareva,Wild,20201007,Y,Y,N,N,Y,Y,Laetitia,Y (Pooled),Y,Y,
A.cyatherea,23,Acya_23,Sofitel,Wild,20201007,Y,Y,Y,Y,Y,Y,Laetitia,Y (Pooled),Y,Y,
A.cyatherea,25,Acya_25,Sofitel,Wild,20201007,Y,Y,Y,Y,Y,Y,Laetitia,Y (Pooled),Y,Y,
A.cyatherea,26,Acya_26,Sofitel,Wild,20201007,Y,Y,Y,Y,Y,Y,Laetitia,Y (Pooled),Y,Y,
